x,y,z,a,b,peak
3,13,0,0.0368328,-5.38811,20.6184
3,13,1,0.0388841,-3.86797,20.5886
3,14,0,0.0314839,-3.50029,20.7766
3,14,1,0.0376259,-4.62347,20.6224
3,15,0,0.0340376,-4.97922,20.563
3,15,1,0.0348334,-4.28033,20.5242
4,0,0,0.0345096,-3.83668,20.595
4,0,1,0.0360403,-4.85041,20.5541
4,1,0,0.0378857,-4.21203,20.6471
4,1,1,0.0376547,-4.62701,20.6262
4,2,0,0.0370279,-4.54998,20.5814
4,2,1,0.0417213,-3.17368,20.6049
4,3,0,0.0383385,-5.60837,20.5908
4,3,1,0.0371143,-4.12627,20.615
4,4,0,0.0420502,-3.69081,21.2684
4,4,1,0.0422805,-7.17463,20.5524
4,5,0,0.0387012,-5.66143,20.6429
4,5,1,0.0403574,-3.54223,20.5844
4,6,0,0.0408874,-5.02425,20.727
4,6,1,0.0423909,-3.72071,20.5662
4,7,0,0.0389142,-4.78178,20.6421
4,7,1,0.0420614,-4.67627,20.5825
4,8,0,0.0433945,-5.33231,20.5489
4,8,1,0.0387451,-3.40071,20.5838
4,9,0,0.0381295,-3.7929,20.6114
4,9,1,0.0396472,-3.94387,20.5152
4,10,0,0.0376968,-4.63218,20.5241
4,10,1,0.0481103,-6.47482,20.5513
4,11,0,0.0411209,-5.53417,20.5524
4,11,1,0.0395733,-5.78901,20.5751
4,12,0,0.0379079,-4.65812,20.559
4,12,1,0.0419028,-3.67787,20.5842
4,13,0,0.0412959,-4.10788,20.6717
4,13,1,0.0439542,-2.31476,20.5182
4,14,0,0.0325869,-3.24156,20.532
4,14,1,0.0378758,-4.21092,20.5113
4,15,0,0.0465482,-6.26459,20.5279
4,15,1,0.0426657,-6.74069,20.5494
5,0,0,0.037039,-4.55135,20.6022
5,0,1,0.0328381,-4.41944,20.7208
5,1,0,0.0362743,-4.45739,20.5405
5,1,1,0.0407205,-5.48028,20.5447
5,2,0,0.03166,-3.51987,20.5011
5,2,1,0.0366369,-3.64443,20.7186
5,3,0,0.0390806,-4.34487,20.5656
5,3,1,0.040979,-4.55592,20.6137
5,4,0,0.0406016,-4.51397,20.6607
5,4,1,0.036543,-4.06275,20.6416
5,5,0,0.0410022,-3.59882,20.657
5,5,1,0.0462484,-5.68301,20.57
5,6,0,0.0423347,-5.20209,20.4496
5,6,1,0.0414063,-5.08801,20.5761
5,7,0,0.041414,-4.11962,20.5383
5,7,1,0.039144,-4.81002,20.5894
5,8,0,0.0367463,-4.08535,20.6642
5,8,1,0.036158,-4.44309,20.5179
5,9,0,0.0379856,-4.66766,20.5788
5,9,1,0.039031,-4.79612,20.5453
5,10,0,0.0374974,-4.16886,20.647
5,10,1,0.0363855,-4.04523,20.5517
5,11,0,0.0340698,-4.1865,20.5733
5,11,1,0.0387244,-5.66483,20.562
5,12,0,0.0352464,-5.56853,20.7148
5,12,1,0.0413101,-5.55964,20.7006
5,13,0,0.0363871,-3.61958,20.5977
5,13,1,0.0355369,-4.36677,20.5572
5,14,0,0.0300933,-3.34569,20.7181
5,14,1,0.0392741,-4.826,20.5469
5,15,0,0.230236,-28.2914,20.7809
5,15,1,0.0431192,-6.81234,20.5258
6,0,0,0.0374131,-4.59733,20.554
6,0,1,0.0374129,-5.47298,20.6057
6,1,0,0.0372303,-3.70346,20.5363
6,1,1,0.0370925,-3.68975,20.6134
6,2,0,0.0370937,-5.42628,20.561
6,2,1,0.038145,-6.02647,20.4637
6,3,0,0.0375745,-5.93634,20.6175
6,3,1,0.0403264,-5.42724,20.5446
6,4,0,0.0417531,-5.61925,20.5046
6,4,1,0.0402532,-6.35954,20.5325
6,5,0,0.0383258,-4.26096,20.5865
6,5,1,0.0405256,-5.92831,20.5706
6,6,0,0.0376754,-4.18864,20.598
6,6,1,0.0407595,-5.00852,20.594
6,7,0,0.0403271,-4.48345,20.5671
6,7,1,0.0417252,-5.6155,20.5688
6,8,0,0.0396864,-4.41222,20.5705
6,8,1,0.0399688,-5.37912,20.6131
6,9,0,0.0430128,-6.29217,20.6319
6,9,1,0.0394286,-4.38356,20.6004
6,10,0,0.0388749,-5.68684,20.5582
6,10,1,0.041074,-5.04717,20.5791
6,11,0,0.0370425,-4.98529,20.5745
6,11,1,0.0395816,-5.79023,20.4985
6,12,0,0.038798,-5.6756,20.6007
6,12,1,0.0392882,-5.7473,20.6717
6,13,0,0.0430071,-5.78802,20.5708
6,13,1,0.045923,-5.10559,20.5083
6,14,0,0.0406798,-6.42694,20.5776
6,14,1,0.0426791,-7.24227,20.5428
6,15,0,0.0446381,-6.00752,20.5124
6,15,1,0.0382189,-5.14361,20.5536
7,0,0,0.0357725,-4.81436,20.5733
7,0,1,0.0437809,-6.40451,20.5315
7,1,0,0.0438018,-6.92018,20.6529
7,1,1,0.0372526,-5.01356,20.5757
7,2,0,0.0423648,-5.70157,20.5843
7,2,1,0.0342138,-5.00499,20.5861
7,3,0,0.0405456,-5.93124,20.5954
7,3,1,0.0388163,-5.22401,20.5633
7,4,0,0.0439529,-6.42969,20.5956
7,4,1,0.038033,-4.6735,20.6431
7,5,0,0.0371006,-4.99311,20.5092
7,5,1,0.0386756,-5.65769,20.716
7,6,0,0.0359487,-4.83808,20.6276
7,6,1,0.0376554,-5.06777,20.5778
7,7,0,0.0394512,-4.38607,20.6046
7,7,1,0.0430641,-6.29966,20.4922
7,8,0,0.0424944,-5.71902,20.5607
7,8,1,0.0356714,-4.80076,20.555
7,9,0,0.037352,-5.90118,20.565
7,9,1,0.0481284,-7.60374,20.5479
7,10,0,0.0474905,-7.50295,20.4914
7,10,1,0.0472589,-7.46636,20.4307
7,11,0,0.038083,-5.571,20.5618
7,11,1,0.0406276,-5.94324,20.527
7,12,0,0.0365331,-4.91673,20.5298
7,12,1,0.0431562,-5.30303,20.5547
7,13,0,0.0393669,-5.75881,20.6204
7,13,1,0.0432476,-6.32651,20.5604
7,14,0,0.0352739,-4.74726,20.6161
7,14,1,0.0377621,-5.08213,20.482
7,15,0,0.0557975,-8.16238,20.5709
7,15,1,0.054332,-7.31216,20.5696
8,0,0,0.0365048,-3.63129,20.6659
8,0,1,0.0372831,-4.14502,20.6152
8,1,0,0.0369731,-3.67787,20.6623
8,1,1,0.037905,-4.21417,20.6861
8,2,0,0.0368256,-3.23224,20.5676
8,2,1,0.0368337,-5.38824,20.5761
8,3,0,0.0452078,-6.08419,20.5363
8,3,1,0.0456374,-4.00566,20.562
8,4,0,0.0390189,-4.33801,20.4643
8,4,1,0.0402302,-5.4143,20.5865
8,5,0,0.0409303,-4.55051,20.6555
8,5,1,0.0422368,-4.20148,20.6056
8,6,0,0.0379041,-4.65765,20.6073
8,6,1,0.0407111,-4.52614,20.6164
8,7,0,0.0406786,-4.99858,20.5645
8,7,1,0.0422701,-4.69947,20.5471
8,8,0,0.0381128,-5.12933,20.7009
8,8,1,0.0348075,-4.68449,20.6395
8,9,0,0.0393071,-5.75007,20.6398
8,9,1,0.0424925,-6.21604,20.5527
8,10,0,0.0378444,-3.76454,20.6069
8,10,1,0.0429779,-5.78409,20.6082
8,11,0,0.0349137,-4.2902,20.6286
8,11,1,0.0394704,-7.1597,20.5931
8,12,0,0.0370981,-4.12446,20.5661
8,12,1,0.0391577,-4.35344,20.5235
8,13,0,0.040801,-6.44609,20.6266
8,13,1,0.0385403,-3.38274,20.6235
8,14,0,0.0323347,-4.7301,20.7367
8,14,1,0.0835793,-10.2702,20.8975
8,15,0,0.0404724,-4.49961,20.586
8,15,1,0.0357062,-3.96971,20.6654
