x,y,amplitude,slope,intercept,meanY,fitMin,fitMax
6,7,284.052,0.00357208,3.2748,287.256,0.7,15.5
6,8,285.062,0.0133801,3.84794,287.781,0.8,15.5
6,9,284.639,0.00803887,3.63212,287.65,0.8,15.5
6,10,285.744,0.0142203,4.42499,289.132,0.8,15.5
6,11,285.462,0.00824823,4.38886,289.336,0.7,15.5
6,12,285.962,0.0104459,4.7697,289.995,0.7,15.5
6,13,285.814,0.0139862,4.2525,289.246,0.8,15.5
6,14,0.0,0.0,0.0,0.0,-99.1,-99.0
6,15,0.0,0.0,0.0,0.0,-99.1,-99.0
7,0,0.0,0.0,0.0,0.0,-99.1,-99.0
7,1,0.0,0.0,0.0,0.0,-99.1,-99.0
7,2,283.378,0.00897598,2.48308,285.295,0.6,15.5
7,3,283.165,0.00745635,2.42903,285.574,0.7,15.5
7,4,0.0,0.0,0.0,0.0,-99.1,-99.0
7,5,0.0,0.0,0.0,0.0,-99.1,-99.0
7,6,284.114,0.00934756,3.25706,286.609,0.7,15.5
7,7,284.474,0.00574547,3.51034,287.693,0.8,15.5
7,8,284.647,0.00887569,3.86506,288.125,0.7,15.5
7,9,284.426,0.00852767,3.68077,287.601,0.7,15.5
7,10,285.227,0.0104342,3.92352,288.524,0.7,15.5
7,11,285.295,0.00965126,4.39039,289.19,0.7,15.5
7,12,0.0,0.0,0.0,0.0,-99.1,-99.0
7,13,286.548,0.0113359,4.91846,290.789,0.8,15.5
7,14,0.0,0.0,0.0,0.0,-99.1,-99.0
7,15,0.0,0.0,0.0,0.0,-99.1,-99.0
8,0,0.0,0.0,0.0,0.0,-99.1,-99.0
8,1,283.13,0.00809934,2.07711,284.447,0.7,15.5
8,2,0.0,0.0,0.0,0.0,-99.1,-99.0
8,3,0.0,0.0,0.0,0.0,-99.1,-99.0
8,4,283.599,0.0101364,2.72021,285.746,0.7,15.5
8,5,283.182,0.00372158,2.01538,285.181,0.7,15.5
8,6,0.0,0.0,0.0,0.0,-99.1,-99.0
8,7,283.862,0.00440511,2.55103,286.248,0.4,15.5
8,8,0.0,0.0,0.0,0.0,-99.1,-99.0
8,9,284.318,0.00494118,3.47697,287.631,0.7,15.5
8,10,285.561,0.017954,3.81882,288.247,0.8,15.5
8,11,286.379,0.00652803,3.6329,289.763,0.4,15.5
8,12,286.87,0.013988,5.07411,290.846,0.8,15.5
8,13,286.275,0.0132425,4.76861,290.206,0.8,15.5
8,14,0.0,0.0,0.0,0.0,-99.1,-99.0
8,15,283.152,0.0109873,1.38298,284.165,1,15.5
