x,y,a,b,xL,xR
8,2,8.15215,21.0508,-100.024,99.9498
8,3,8.11287,11.8603,-99.9943,99.9707
8,4,8.13674,-0.359448,-100.015,99.9193
8,5,8.12982,13.6124,-99.8093,99.9904
8,6,8.16645,11.1637,-100.006,99.8251
8,7,8.19162,-0.233958,-100.167,100.226
8,8,8.2,-0.2,-99.8137,96.0541
8,9,8.17659,10.5906,-99.9034,99.979
8,10,8.12195,21.7795,-99.972,100.005
8,11,8.24553,25.8713,-100.124,100.145
8,12,8.1631,12.359,-100.073,100.027
8,13,8.1485,5.89494,-99.9133,99.8337
8,14,8.16267,-10.5571,-100.036,99.9525
8,15,8.28028,9.3559,-100.075,99.9907
